year,mmsi,on_fishing_list,on_fishing_list_nn,flag_country_name,flag_iso3,known_label,inferred_label_allyears,inferred_sublabel_allyears,length,tonnage,engine_power,days,hours,fishing_days,fishing_hours,fishing_kwh
2015,701000517,TRUE,TRUE,Argentina,ARG,unknown_fishing,trawlers,trawlers,49.9444039491,670.056659509,1069.47628598,89,1959.413611111111,24,437.10763888888914,467476.25421237585
2015,441413000,TRUE,TRUE,South Korea,KOR,NA,squid_jigger,squid_jigger,58.3764435248,1011.46579699,1527.70148563,132,2982.84624999992,81,1026.014027777789,1567443.1545133337
2015,441868000,TRUE,TRUE,South Korea,KOR,drifting_longlines,drifting_longlines,drifting_longlines,47.11,862,1160.81120261,29,535.6308333333329,4,5.731527777777777,6653.221652514842
2015,701000894,TRUE,TRUE,Argentina,ARG,NA,trawlers,trawlers,46.1711475061,1074.39977273,1478.66839283,36,842.7490277777773,1,5.979444444444444,8841.61550668294
2014,515844000,FALSE,TRUE,Cambodia,KHM,unknown_fishing,drifting_longlines,drifting_longlines,65.5837599671,1150.82583125,1652.19817678,75,1774.800555555551,34,449.5631944444446,742767.4902085037
2015,701000882,TRUE,TRUE,Argentina,ARG,NA,trawlers,trawlers,32.3396774601,374.633515689,953.961325821,193,4526.129999999977,132,2316.923611111094,2210255.519881516
2014,701000547,TRUE,TRUE,Argentina,ARG,NA,drifting_longlines,drifting_longlines,50.6586105818,849.027952594,1546.7667124,198,4690.079444444442,13,154.28444444444443,238642.04290779377
2014,701000884,TRUE,TRUE,Argentina,ARG,unknown_fishing,trawlers,trawlers,47.3899050697,557.282103828,940.867798471,144,3332.2922222222214,67,919.5818055555555,865204.9089070427
2016,701006204,TRUE,TRUE,Argentina,ARG,unknown_fishing,trawlers,trawlers,30.7792131755,435.894475363,978.349218128,162,3824.278333333264,116,2030.3747222222084,1986415.5219929102
2015,412328765,FALSE,TRUE,China,CHN,NA,squid_jigger,squid_jigger,62.6212579858,1115.55242945,1700.76063506,10,86.16000000000001,4,22.06875,37533.66126498037
2016,701006341,TRUE,TRUE,Argentina,ARG,unknown_fishing,trawlers,trawlers,35.6121916283,468.586714818,1046.87250075,337,8069.982361110528,186,3443.5665277776125,3604975.1024338827
2016,740353000,TRUE,TRUE,Falkland Islands,FLK,NA,trawlers,trawlers,73.3829855378,2587.15897972,3167.08329263,154,3616.6943055554552,130,2431.423194444433,7700519.776437482
2016,770576200,TRUE,TRUE,Uruguay,URY,unknown_fishing,trawlers,trawlers,37.6126615776,474.003418231,928.597714218,196,4085.8881944444406,179,3053.867361111108,2835814.2510527116
2016,412320039,TRUE,FALSE,China,CHN,unknown,NA,NA,NA,1372,NA,4,69.32541666666667,1,12.249861111111112,0
